name,description
"Bachelor of Arts (Sociology and Anthropology, With IT)",MSU
"Bachelor of Science (Mathematics & Business Studies, With IT)",MSU
"Bachelor of Arts (Language and Communication, With IT)",MSU
"Bachelor of Arts (Economics, With IT)",MSU
"Bachelor of Science (Geography and Natural Resource Management, With IT)",MSU
"Bachelor of Science (Public Health, With IT)",MSU
"Bachelor of Arts (Urban and Regional Planning, With IT)",MSU
"Bachelor of Science (Geospatial Information Science, With IT)",MSU
Bachelor of Science (Industrial Chemistry),MMUST
Bachelor of Science (Biology),MMUST
Bachelor of Science (Biochemistry),MMUST
Bachelor of Science (Computer Science),MMUST
Bachelor of Science (Nursing),MMUST
Bachelor of Commerce,MMUST
Bachelor of Education (Arts),MMUST
Bachelor of Criminology,MMUST
Bachelor of Education (Science),MMUST
Bachelor of Social Work,MMUST
Bachelor of Economics,MMUST
Bachelor of Science (Information Sciences and Knowledge Management),MMUST
"Bachelor of Science (Applied Statistics, With IT)",MMUST
Bachelor of Education (Early Childhood Education),MMUST
Bachelor of Journalism & Mass Communication,MMUST
Bachelor of Science (Medical Laboratory),MMUST
Bachelor of Science (Environmental Science),MMUST
Bachelor of Science (Agriculture Economics & Resource Management),MMUST
Bachelor of Science (Biotechnology),MMUST
Bachelor of Science (Information Technology),MMUST
Bachelor of Science (Electrical and Communication Engineering),MMUST
Bachelor of Science (Mechanical and Industrial Engineering),MMUST
Bachelor of Science in Agribusiness Management and Marketing,MMUST
Bachelor of Education (French),MMUST
Bachelor of Science in Animal Production,MMUST
Bachelor of Education (Physical Education),MMUST
Bachelor of Education in Technology (Mechanical Engineering),MMUST
Bachelor of Education in Technology (Electrical & Electronic Engineering),MMUST
Bachelor of Education in Technology (Civil Engineering),MMUST
Bachelor of Science (Natural Resources Management),MMUST
Bachelor of Science (Physics With Appropriate Technology),MMUST
Bachelor of Science (Sugar and Agro Processing Technology),MMUST
Bachelor of Science (Emergency Management Studies),MMUST
Bachelor of Science (Disaster Management and Peace Studies),MMUST
Bachelor of Science (Human Nutrition and Dietetics),MMUST
Bachelor of Science (Mathematics With IT),MMUST
Bachelor of Science (Agriculture Education & Extension),MMUST
Bachelor of Hospitality Management,MMUST
Bachelor of Technology in Cosmetology,MMUST
Bachelor of Science (Health Promotion and Sports Science),MMUST
Bachelor of Technology Education (Computer Studies),MMUST
Bachelor of Science (Paramedic Science),MMUST
Bachelor of Science (Physiotherapy),MMUST
Bachelor of Science (Chemistry),MMUST
Bachelor of Science in Fisheries and Aquaculture,MMUST
Bachelor of Science (Renewable Energy and Bio-fuels Technology),MMUST
Bachelor of Science in Global Health and Emporiatrics,MMUST
"Bachelor of Science (Mathematics & Economics, With IT",MMUST
Bachelor of Science in Medical Biotechnology,MMUST
Bachelor of Science (Agriculture and Biotechnology),MMUST
Bachelor of Conflict Resolution and Humanitairan Assistance,MMUST
Bachelor of Science (Optometry and Vision Sciences),MMUST
Bachelor of Science (Civil and Structural Engineering),MMUST
Bachelor of Science (Food Processing Technology),MMUST
Bachelor of Science (Renewable Energy and Technology),MMUST
Bachelor of Science in Epidemiology and Biostatistics,MMUST
Bachelor of Disaster Management & International Diplomacy,MMUST
Bachelor of Science (Disaster Mitigation and Sustainable Development),MMUST
