name,description
Bachelor of Science in Nursing,BARA
Bachelor of Education (Arts),BARA
Bachelor in Business Administration,BARA
Bachelor of Arts (Music),BARA
Bachelor of Science in Foods and Nutrition,BARA
Bachelor of Science in Medical Laboratory Sciences,BARA
Bachelor of Science in Nutrition and Dietetics,BARA
Bachelor of Science (Fashion Design and Textile Technology),BARA
Bachelor of Business Information Technology,BARA
Bachelor of Arts in Geography,BARA
Bachelor of Arts in Development Studies,BARA
Bachelor of Arts in Kiswahili,BARA
Bachelor of Arts in Guidance and Counselling,BARA
Bachelor of Arts in Religion,BARA
Bachelor of Arts in Theology,BARA
Bachelor of Science in Technology (Automotive),BARA
Bachelor of Science in Networks and Communication Systems,BARA
Bachelor of Technology in Electronics,BARA
Bachelor of Science in Chemistry,BARA
Bachelor of Arts in History,BARA
Bachelor of Science in Software Engineering,BARA
Bachelor of Science (Agribusiness),BARA
Bachelor of Arts in English Language,BARA
Bachelor of Arts in Anthropology,CUEA
Bachelor of Science in Actuarial Science,CUEA
Bachelor of Science (Mathematics),CUEA
Bachelor of Science in Biology,CUEA
Bachelor of Science in Computer Science,CUEA
Bachelor of Commerce,CUEA
Bachelor of Laws (LLB),CUEA
Bachelor of Education (Arts),CUEA
Bachelor of Education (Science),CUEA
Bachelor of Arts (Social Work),CUEA
Bachelor of Science in Library and Information Science,CUEA
Bachelor of Arts in Geography,CUEA
Bachelor of Arts in Development Studies,CUEA
Bachelor of Arts in Environmental Planning and Management,CUEA
Bachelor of Arts (Kiswahili and Communication),CUEA
Bachelor of Arts in Counseling Psychology,CUEA
Bachelor of Science (Physics),CUEA
Bachelor of Arts in Philosophy,CUEA
Bachelor of Arts (Religious Studies),CUEA
Bachelor of Science (Chemistry),CUEA
Bachelor of Arts in History,CUEA
Bachelor of Arts in Political Science,CUEA
Bachelor of Arts in Economics,CUEA
Bachelor of Justice and Peace,CUEA
Bachelor of Church Management and Leadership,CUEA
Diploma in Business Management,CUEA
Bachelor of Arts in Sociology,CUEA
Diploma in Information Technology,CUEA
Diploma in Library and Information Science,CUEA
Bachelor of Science in Actuarial Science,DAYSTAR
Bachelor of Arts (Social Work),DAYSTAR
Bachelor of Science in Economics,DAYSTAR
Bachelor of Arts in Community Development,DAYSTAR
Bachelor of Science in Biomedical Science,DAYSTAR
Bachelor of Science in Environmental Health,DAYSTAR
Bachelor of Arts in International Relations and Security Studies,DAYSTAR
Bachelor of Science in Applied Computer Science,DAYSTAR
Bachelor of Commerce in Management Information Systems,DAYSTAR
Bachelor of Arts in Peace and Conflict Transformation,DAYSTAR
Bachelor of Science in Nursing,GLUK
Bachelor of Education (Arts),GLUK
Bachelor of Science (Agribusiness Management),GLUK
Bachelor of Science in Nutrition and Dietetics,GLUK
Bachelor of Science in Information Technology,GLUK
Bachelor of Science in Community Health and Development,GLUK
Bachelor of Arts in Theology,GLUK
Bachelor of Science Clinical Medicine,GLUK
Bachelor of Science in Computer Science,GRETSA
Bachelor of Commerce,GRETSA
Bachelor of Education (Arts),GRETSA
Bachelor of Arts in Community Development,GRETSA
Bachelor of Science in Hospitality Management,GRETSA
Bachelor of Education (Arts),ILU
Bachelor of Arts in Counselling Psychology,ILU
Bachelor of Arts (Religious Studies),ILU
Bachelor of Arts in Leadership and Management,ILU
Bachelor of Science in Computer Science,KABU
Bachelor of Science,KABU
Bachelor of Commerce,KABU
Bachelor of Education (Arts),KABU
Bachelor of Education (Science),KABU
Bachelor of Business and Information Technology,KABU
Bachelor of Science in Environmental Science,KABU
Bachelor of Science in Information Technology,KABU
Bachelor of Business Management and Information Technology,KABU
Bachelor of Theology,KABU
Bachelor of Science in Economics and Mathematics,KABU
Bachelor of Management Information Systems,KABU
Bachelor of Science in Telecommunications,KABU
Bachelor of Commerce,KCA
Bachelor of Business and Information Technology,KCA
Bachelor of Science (Information Technology),KCA
Bachelor of Science in Agriculture,KeMU
Bachelor of Pharmacy,KeMU
Bachelor of Medicine & Bachelor of Surgery,KeMU
Bachelor of Science in Nursing,KeMU
Bachelor of Education (Science),KeMU
Bachelor in Business Administration,KeMU
Bachelor of Science in Medical Laboratory Sciences,KeMU
Bachelor of Science in Hospitality Management,KeMU
Bachelor of Business Information Technology,KeMU
Bachelor of Science in Mathematics and Computer Science,KeMU
Bachelor of Theology,KeMU
Bachelor of Science (Applied Biology),KeMU
Bachelor of Science in Computer Information Systems,KeMU
Bachelor of Science in Travel and Tourism Management,KeMU
Bachelor of Science (Computer Science),KHEU
Bachelor of Education (Arts),KHEU
Bachelor of Business and Management,KHEU
Bachelor of Science (Information Technology),KHEU
Bachelor of Library and Information Studies,KHEU
Bachelor of Arts in Counseling Psychology,KHEU
Bachelor of Arts in Theology,KHEU
Bachelor of Christian Education,KHEU
Bachelor of Education (Early Childhood),KHEU
Bachelor of Arts,KUCCPS
Bachelor of Engineering (Civil Engineering),KUCCPS
Bachelor of Engineering (Geospatial Engineering),KUCCPS
Bachelor of Education (Arts),KUCCPS
Bachelor of Arts (Criminology and Penology),KUCCPS
Bachelor of Economics,KUCCPS
Bachelor in Business Administration,KUCCPS
Bachelor of Arts (French),KUCCPS
Bachelor of Arts (International Relations and Diplomacy),KUCCPS
Bachelor of Arts in Kiswahili,KUCCPS
Bachelor of Agricultural Education & Extension,KUCCPS
Bachelor of Education (ICT),KUCCPS
Bachelor of Business Leadership,KUCCPS
Bachelor of Engineering (Aeronautical Engineering),KUCCPS
Bachelor of Applied Science (Geo-informatics),KUCCPS
Bachelor of Architectural Technology,KUCCPS
Bachelor of Engineering (Chemical Engineering),KUCCPS
Bachelor of Engineering (Electrical and Electronic Engineering),KUCCPS
Diploma in Applied Biology,KUCCPS
Diploma in Building Technology,KUCCPS
Bachelor of Science in Mathematics,KWUST
Bachelor of Science in Computer Science,KWUST
Bachelor of Science in Business Administration,KWUST
Bachelor of Business and Information Technology,KWUST
Bachelor of Commerce,LUKENYA
Bachelor of Education (Arts),LUKENYA
Bachelor of Education Arts,MARIST
Bachelor of Business Management,MARIST
Bachelor of Science in Actuarial Science,MKU
Bachelor of Commerce,MKU
Bachelor of Education Arts,MKU
Bachelor of Education (Science),MKU
Bachelor of Economics,MKU
Bachelor of Science in Information Science,MKU
Bachelor of Business Management,MKU
Bachelor of Education in Special Needs Education,MKU
Bachelor of Science in Statistics,MKU
Bachelor of Science in Environmental Health,MKU
Bachelor of Science in Medical Laboratory Sciences,MKU
Bachelor of Economics and Statistics,MKU
Bachelor of Science in Nutrition and Dietetics,MKU
Bachelor of Science in Hospitality Management,MKU
Bachelor of Science in Information Technology,MKU
Bachelor of Business Information Technology,MKU
Bachelor of Science in Animal Health and Production,MKU
Bachelor of Arts in International Relations,MKU
Bachelor of Development Studies,MKU
Bachelor of Science in Agriculture and Rural Development,MKU
Bachelor of Science in Dental Technology,MKU
Bachelor of Economics and Finance,MKU
Bachelor of Science in Food Science and Processing,MKU
Bachelor of Arts in Mass Media and Communication,MKU
Bachelor of Arts in Justice and Security Studies,MKU
Bachelor of Arts in Peace Studies and Conflict Resolution,MKU
Bachelor of Arts in Public Administration and Governance,MKU
Bachelor of Arts in Security Studies and Criminology,MKU
Bachelor of Counseling Psychology,MKU
Bachelor of Education in Early Childhood Studies,MKU
Bachelor of Science in Finance and Statistics,MKU
Bachelor of Science in Health Informatics and Information Management,MKU
Bachelor of Science in Health Records and Information Technology,MKU
Bachelor of Science in Justice Information Systems,MKU
Bachelor of Science in Real Estate Management,MKU
Bachelor of Science in Travel and Tourism Management,MKU
Bachelor of Social Work and Administration,MKU
Bachelor of Arts in Sociology,MKU
Bachelor of Commerce,MUA
Bachelor of Arts in Development Studies,MUA
Bachelor of Management and Leadership,MUA
Bachelor of Commerce,PAC
Bachelor of Arts in Counseling,PAC
Bachelor of Business Leadership,PAC
Bachelor of Arts in Bible and Theology,PAC
Bachelor of Arts in Communication,PAC
Bachelor of Commerce (B.Com),PIU
Bachelor of Science in Information Technology,PIU
Bachelor of Arts (International Relations and Diplomacy),PIU
Bachelor of Science in Computer Science,PUEA
Bachelor of Education (Arts),PUEA
Bachelor of Education (Science),PUEA
Bachelor of Business Administration,PUEA
Bachelor of Science in Computer Science,RU
Bachelor of Laws (LLB),RU
Bachelor of Education (Arts),RU
Bachelor of Business Administration,RU
Bachelor of Journalism,RU
Bachelor of Business Information Technology,RU
Bachelor of International Relations & Diplomacy,RU
Bachelor of Education (Early Childhood Development Education),RU
Bachelor of Education (Arts),SCU
Bachelor in Business Administration,SCU
Bachelor of Information Communication Technology,SCU
Bachelor of Arts in Community Development,SCU
Bachelor of Hospitality and Tourism Management,SCU
Bachelor of Business Information Technology,SCU
Bachelor of Arts in Counseling Psychology,SCU
Bachelor of Theology,SCU
Bachelor of Leadership and Management,SCU
Bachelor of Education (Early Childhood Development Education),SCU
Bachelor of Science in Computer Science,SPU
Bachelor of Commerce (B.Com),SPU
Bachelor of Education Arts,SPU
Bachelor of Arts (Social Work),SPU
Bachelor in Business Administration,SPU
Bachelor of Education in Special Needs Education,SPU
Bachelor of Arts in Community Development,SPU
Bachelor of Business Information Technology,SPU
Bachelor of Arts in Counseling Psychology,SPU
Bachelor of Theology,SPU
Bachelor of Arts in Leadership and Management,SPU
Bachelor of Science (Business Computing),SPU
Bachelor of Arts (Translation and Interpretation),SPU
Bachelor of Science in Computing and Information Systems,SPU
Bachelor of Arts in Communication,SPU
Bachelor of Education (Early Childhood Development Education),SPU
Bachelor of Science (Computer Science),TEAU
"Bachelor of Education (Arts - Geo, Mat & Bus)",TEAU
Bachelor of Business Management,TEAU
Bachelor of Business Information Technology,TEAU
Bachelor of Education (Arts - Business Studies),TEAU
"Bachelor of Education (Science, With IT)",TMUC
Bachelor of Business Administration (With IT),TMUC
"Bachelor of Science (Horticulture, With IT)",TMUC
Bachelor of Education (Arts),TUC
Bachelor of Education (Science),TUC
Bachelor of Arts in Sustainable Human Development,TUC
Bachelor of Arts in Child and Youth Studies,TUC
Bachelor of Arts in Social Communication,TUC
Bachelor of Arts in Counseling Psychology,TUC
Bachelor of Arts in Leadership and Management,TUC
Bachelor of Science in Computer Science,UMMA
Bachelor of Business Management,UMMA
Bachelor of Arts in Islamic Studies,UMMA
Bachelor of Arts in Islamic Sharia,UMMA
Bachelor of Arts in Criminal Justice,USIU
Bachelor of Arts (Psychology),USIU
Bachelor of Arts in International Relations,USIU
Bachelor of Science (Finance),USIU
Bachelor of Science in International Business Administration,USIU
Bachelor of Science in Applied Computer Technology,USIU
Bachelor of Arts in Journalism,USIU
Bachelor of Science in Information Systems and Technology,USIU
Bachelor of Science in Accounting,USIU
Bachelor of Science in Hotel and Restaurant Management,USIU
Bachelor of Medicine & Bachelor of Surgery (M.B.Ch.B),UUC
Bachelor of Science in Nursing,UUC
Bachelor of Science (Medical Microbiology),UUC
Bachelor of Science Clinical Medicine,UUC
Bachelor of Business Administration and Management,ZETECH
Bachelor of Science in Information Technology,ZETECH
Bachelor of Business Information Technology,ZETECH
Bachelor of Purchasing and Supply Chain Management,ZETECH
Diploma in Social Work & Community Development,BARINGO TC
Diploma in Accountancy,BARINGO TC
Diploma in Automotive Engineering,BARINGO TC
Diploma in Supply Chain Management,BARINGO TC
Diploma in Business Management,BARINGO TC
Diploma in Building Technology,BARINGO TC
Diploma in Petroleum and Geoscience,BARINGO TC
Diploma in Social Work and Community Development,BONDO TTI
Diploma in Clothing & Textile,BONDO TTI
Diploma in Accountancy,BONDO TTI
Diploma in Building and Civil Engineering,BONDO TTI
Diploma in Civil Engineering,BONDO TTI
Diploma in Supply Chain Management,BONDO TTI
Diploma in Business Management,BONDO TTI
Diploma in Information Communication Technology (ICT),BONDO TTI
Diploma in Human Resource Management,BONDO TTI
Diploma in Building Technology,BONDO TTI
Diploma in Electrical & Electronic Engineering (Power),BONDO TTI
Diploma in Water Technology (Water Supply Option),BONDO TTI
Diploma in Social Work and Community Development,BUMBE TTI
Diploma in Food and Beverage,BUMBE TTI
Diploma in Fashion Design and Garment Making,BUMBE TTI
Diploma in Automotive Engineering,BUMBE TTI
Diploma in Guidance and Counselling,BUMBE TTI
Diploma in Supplies Chain Management,BUMBE TTI
Diploma in Business Management,BUMBE TTI
Diploma in Information Communication Technology,BUMBE TTI
Diploma in Nutrition and Diet Management,BUMBE TTI
Diploma in Building Construction Technology,BUMBE TTI
Diploma in Electrical Engineering (Power),BUMBE TTI
Diploma in Clothing Technology,BUSHIANGALA TTI
Diploma in Automotive Engineering,BUSHIANGALA TTI
Diploma in Civil Engineering,BUSHIANGALA TTI
Diploma in Mechanical Engineering,BUSHIANGALA TTI
Diploma in Applied Biology,BUSHIANGALA TTI
Diploma in Supplies Chain Management,BUSHIANGALA TTI
Diploma in Supplies Management,BUSHIANGALA TTI
Diploma in Business Administration,BUSHIANGALA TTI
Diploma in Information Communication Technology,BUSHIANGALA TTI
Diploma in Community Development,BUSHIANGALA TTI
Diploma in Human Resource Management,BUSHIANGALA TTI
Diploma in Building Technology,BUSHIANGALA TTI
Diploma in Community Development and Social Work,CIT
Diploma in Sales and Marketing,CIT
"Diploma in Food and Beverage Production,sales and Services",CIT
Diploma in Accountancy,CIT
Diploma in Catering and Accommodation,CIT
Diploma in Automotive Engineering,CIT
Diploma in Applied Biology,CIT
Diploma in Civil Engineering Technology,CIT
Diploma in Tour Guiding,CIT
Diploma in Supply Chain Management,CIT
Diploma in Business Management,CIT
Diploma in Business Administration,CIT
Diploma in Tourism Management,CIT
Diploma in Information Communication Technology,CIT
Diploma in Human Resource Management,CIT
Diploma in Dietetic Management,CIT
Diploma in Cooperative Management,CIT
Diploma in Computer Studies,CIT
Diploma in Building Engineering Technology,CIT
Diploma in Electrical and Electronics Engineering (Power),CIT
Diploma in Early Childhood Development,CIT
Diploma in Community Development and Social Work,ELDO POLY
Diploma in Sales and Marketing,ELDO POLY
Diploma in Food & Beverages Production,ELDO POLY
Diploma in Accountancy,ELDO POLY
Diploma in Marketing,ELDO POLY
Diploma in Catering & Accommodation Management,ELDO POLY
Diploma in Automotive Engineering,ELDO POLY
Diploma in Architecture,ELDO POLY
Diploma in Civil Engineering,ELDO POLY
Diploma in Mechanical Engineering (Plant),ELDO POLY
Diploma in Applied Biology,ELDO POLY
Diploma in Analytical Chemistry,ELDO POLY
Diploma in Computer Studies,ELDO POLY
Diploma in Electrical & Electronics Engineering (Telecommunication Option),ELDO POLY
Diploma in General Agriculture,ELDO POLY
Diploma in Food Science Technology,ELDO POLY
Diploma in Guidance and Counselling,ELDO POLY
Diploma in Project Management,ELDO POLY
Diploma in Transport Management,ELDO POLY
Diploma in Tour Guiding,ELDO POLY
Diploma in Banking & Finance,ELDO POLY
Diploma in Supplies Chain Management,ELDO POLY
Diploma in Business Management,ELDO POLY
Diploma in Tourism Management,ELDO POLY
Diploma in Information Communication Technology,ELDO POLY
Diploma in Applied Statistics,ELDO POLY
Diploma in Human Resource Management,ELDO POLY
Diploma in Pharmaceutical Technology,ELDO POLY
Diploma in Medical Laboratory Sciences,ELDO POLY
Diploma in Medical Engineering,ELDO POLY
Diploma in Nutrition & Dietetic Management,ELDO POLY
Diploma in Chemical Engineering,ELDO POLY
Diploma in Land Surveying,ELDO POLY
Diploma in Mechanical Engineering (Production),ELDO POLY
Diploma in Cooperative Management,ELDO POLY
Diploma in Electrical & Electronics Engineering (Control & Instrumentation),ELDO POLY
Diploma Building Technology,ELDO POLY
Diploma in Secretarial Studies,ELDO POLY
Diploma in Mechanical Engineering (Automotive),ELDO POLY
Diploma in Electrical & Electronics Engineering (Power Option),ELDO POLY
Diploma in Information Studies,ELDO POLY
Diploma in Petroleum and Geoscience,ELDO POLY
Diploma in Entrepreneurship Development,ELDO POLY
Diploma in Automotive Engineering,EMINING TTI
Diploma in Mechanical Engineering,EMINING TTI
Diploma in General Agriculture,EMINING TTI
Diploma in Supply Chain Management,EMINING TTI
Diploma in Business Management,EMINING TTI
Diploma in Information Communication Technology,EMINING TTI
Diploma in Social Work and Community Development,FCK
Diploma in Sales and Marketing,FCK
Diploma in Food and Beverage Management,FCK
Diploma in Fashion Design and Garment Making Technology,FCK
Diploma in Accountancy,FCK
Diploma in Automotive Engineering,FCK
Diploma in Mechanical Engineering,FCK
Diploma in Applied Biology,FCK
Diploma in Analytical Chemistry,FCK
Diploma in Food Science and Technology,FCK
Diploma in Supply Chain Management,FCK
Diploma in Business Management,FCK
Diploma in Information Communication Technology,FCK
Diploma in Human Resource Management,FCK
Diploma in Dietetics Management,FCK
Diploma in Computer Studies,FCK
Diploma in Secretarial Studies,FCK
Diploma in Electrical and Electronics Engineering,FCK
Diploma in Information Studies,FCK
Diploma in Social Work & Community Development,GUSII TI
Diploma in Sales & Marketing,GUSII TI
"Diploma in Food & Beverage Prod,sales & Services Management",GUSII TI
Diploma in Clothing & Textile,GUSII TI
Diploma in Automotive Engineering,GUSII TI
Diploma in Civil Engineering,GUSII TI
Diploma in Applied Biology,GUSII TI
Diploma in Environmental Sciences,GUSII TI
Diploma in Analytical Chemistry,GUSII TI
Diploma in Electrical and Electronics (Telecommunication),GUSII TI
Diploma in Agriculture,GUSII TI
Diploma in Food Science and Technology,GUSII TI
Diploma in Supply Chain Management,GUSII TI
Diploma in Information Science,GUSII TI
Diploma in Business Management,GUSII TI
Diploma in Information Communication Technology,GUSII TI
Diploma in Personnel Management,GUSII TI
Diploma in Pharmaceutical Technology,GUSII TI
Diploma in Medical Laboratory Science,GUSII TI
Diploma in Medical Engineering,GUSII TI
Diploma in Mechanical Engineering (Production),GUSII TI
Diploma in Co-operative Management,GUSII TI
Diploma in Building Technology,GUSII TI
Diploma in Secretarial Studies,GUSII TI
Diploma in Electrical and Electronics (Power),GUSII TI
Diploma in Social Work & Community Development,KABETE TTI
Diploma in Sales & Marketing,KABETE TTI
Diploma in Automotive Engineering,KABETE TTI
Diploma in Architecture,KABETE TTI
Diploma in Civil Engineering,KABETE TTI
Diploma in Mechanical Engineering (Plant),KABETE TTI
Diploma in Applied Biology,KABETE TTI
Diploma in Analytical Chemistry,KABETE TTI
Diploma in Electrical & Electronic Engineering (Telecommunication),KABETE TTI
Diploma in Project Management,KABETE TTI
Diploma in Banking and Finance,KABETE TTI
Diploma in Supplies Chain Management,KABETE TTI
Diploma in Business Management,KABETE TTI
Diploma in Information Communication Technology,KABETE TTI
Diploma in Human Resource Management,KABETE TTI
Diploma in Pharmaceutical Technology,KABETE TTI
Diploma in Mechanical Engineering (Production),KABETE TTI
Diploma in Co-operative Management,KABETE TTI
Diploma in Building Technology,KABETE TTI
Diploma in Medical Laboratory Technology,KABETE TTI
Diploma in Secretarial Studies,KABETE TTI
Diploma in Electrical Engineering (Power),KABETE TTI
Diploma in Teacher Education (Agriculture/biology),KAGUMO TTC
Diploma in Teacher Education (Biology / Chemistry),KAGUMO TTC
Diploma in Teacher Education (Chemistry/mathematics),KAGUMO TTC
Diploma in Teacher Education (Physics/chemistry),KAGUMO TTC
Diploma in Teacher Education (Physics/mathematics),KAGUMO TTC
Diploma in Teacher Education (Biology/mathematics),KAGUMO TTC
Diploma in Teacher Education (Physics/computer),KAGUMO TTC
Diploma in Teacher Education (English / Cre),KAGUMO TTC
Diploma in Teacher Education (English / History),KAGUMO TTC
Diploma in Teacher Education (Kiswahili/history),KAGUMO TTC
Diploma in Teacher Education (Mathematics/computer),KAGUMO TTC
Diploma in Teacher Education (History / Cre),KAGUMO TTC
Diploma in Teacher Education (Mathematics/business Studies),KAGUMO TTC
Diploma in Teacher Education (Kiswahili/geography),KAGUMO TTC
Diploma in Teacher Education (Geography/business Studies),KAGUMO TTC
Diploma in Teacher Education (German/ English),KAGUMO TTC
Diploma in Teacher Education (Music/english),KAGUMO TTC
Diploma in Teacher Education (Music/kiswahili),KAGUMO TTC
Diploma in Teacher Education (Art and Design / English),KAGUMO TTC
Diploma in Teacher Education (Art and Design / Kiswahili),KAGUMO TTC
Diploma in Teacher Education (French/english),KAGUMO TTC
Diploma in Teacher Education (Ire With Arabic),KAGUMO TTC
Diploma in Teacher Education (Ire With English),KAGUMO TTC
Diploma in Teacher Education (Physics / Computer Studies),KAGUMO TTC
Diploma in Teacher Education (Agriculture / Chemistry),KAGUMO TTC
"Diploma in Food & Beverage Prod,sales & Services Management",KAREN TTI
Diploma in Fashion Design & Garment Making,KAREN TTI
Diploma in Catering & Accommodation Management,KAREN TTI
Diploma in Automotive Engineering,KAREN TTI
Diploma in Agriculture,KAREN TTI
Diploma in Information Communication Technology,KAREN TTI
Diploma in Community Development,KAREN TTI
Diploma in Building Construction Technology,KAREN TTI
Diploma in Electrical & Electronic Engineering (Power),KAREN TTI
Diploma in Fashion & Garment Making,KEROKA TTI
Diploma in Automotive Engineering,KEROKA TTI
Diploma in Civil Engineering,KEROKA TTI
Diploma in Electronics,KEROKA TTI
Diploma in Supplies Chain Management,KEROKA TTI
Diploma in Business Management,KEROKA TTI
Diploma in Information Communication Technology,KEROKA TTI
Diploma in Human Resource Management,KEROKA TTI
Diploma in Mechanical Engineering (Production),KEROKA TTI
Diploma in Building Technology,KEROKA TTI
Diploma in Secretarial Studies,KEROKA TTI
Diploma in Electrical Engineering (Power),KEROKA TTI
Diploma in Teacher Education (Kiswahili / Christian Religious Education),KIBABII TTC
Diploma in Teacher Education (English and Geography),KIBABII TTC
Diploma in Teacher Education (Geography/ History),KIBABII TTC
Diploma in Teacher Education (Geography/christian Religious Education),KIBABII TTC
Diploma in Teacher Education (Maths / Geography),KIBABII TTC
Diploma in Teacher Education (English and Christian Religious Education),KIBABII TTC
Diploma in Teacher Education (English and History),KIBABII TTC
"Diploma in Teacher Education (French With Either History, Geography, Cre, Ire or English)",KIBABII TTC
Diploma in Teacher Education (Kiswahili / History),KIBABII TTC
Diploma in Teacher Education (Mathematics/computer Studies),KIBABII TTC
"Diploma in Teacher Education (Islamic Religious Education With Either
Arabic/kiswahili/geography/english/history)",KIBABII TTC
Diploma in Teacher Education (History With Christian Religious Education),KIBABII TTC
Diploma in Teacher Education (Mathematics / Business Studies),KIBABII TTC
Diploma in Teacher Education (Kiswahili / Geography),KIBABII TTC
Diploma in Teacher Education (Geography / Business Studies),KIBABII TTC
Diploma in Automotive Engineering,KIHBT
Diploma in Architecture,KIHBT
Diploma in Quantity Surveying,KIHBT
Diploma in Civil Engineering,KIHBT
Diploma in Mechanical Engineering (Plant Option),KIHBT
Diploma in Computer Studies,KIHBT
Diploma in Construction Plant Engineering,KIHBT
Diploma in Highways Engineering,KIHBT
Diploma in Information Communication Technology,KIHBT
Diploma in Land Surveying,KIHBT
Diploma in Building,KIHBT
Diploma in Electrical & Electronic Engineering (Power Option),KIHBT
Diploma in Clothing Technology,KIIRUA TTI
Diploma in Electrical and Electronics,KIIRUA TTI
Diploma in Marketing,KIIRUA TTI
Diploma in Automotive Engineering,KIIRUA TTI
Diploma in Building and Civil Engineering,KIIRUA TTI
Diploma in Supply Chain Management,KIIRUA TTI
Diploma in Business Management,KIIRUA TTI
Diploma in Information Communication Technology,KIIRUA TTI
Diploma in Human Resource,KIIRUA TTI
Diploma in Co-operative Management,KIIRUA TTI
Diploma in Social Work and Community Development,KIST
Diploma in Sales and Marketing,KIST
Diploma in Food and Beverage,KIST
Diploma in Architecture,KIST
Diploma in Quantity Surveying,KIST
Diploma in Civil Engineering,KIST
Diploma in Applied Biology,KIST
Diploma in Environmental Science,KIST
Diploma in Analytical Chemistry,KIST
Diploma in General Agriculture,KIST
Diploma in Baking Technology,KIST
Diploma in Banking,KIST
Diploma in Supply Chain Management,KIST
Diploma in Business Management,KIST
Diploma in Information Communication Technology,KIST
Diploma in Counselling Psychology,KIST
Diploma in Applied Statistics,KIST
Diploma in Human Resource Management,KIST
Diploma in Electrical and Electronics (Instrumentation),KIST
Diploma in Nutrition & Dietetics,KIST
Diploma in Building Technology,KIST
Diploma in Electrical and Electronics Technology (Power),KIST
Diploma in Electrical and Electronics Technology (Telecommunication),KIST
Diploma in Entrepreneurship Development,KIST
"Diploma in Food & Beverage Production,sales & Service Management",KISTVC
Diploma in Accountancy,KISTVC
Diploma in Applied Biology,KISTVC
Diploma in Analytical Chemistry,KISTVC
Diploma in General Agriculture,KISTVC
Diploma in Supply Chain Management,KISTVC
Diploma in Business Management,KISTVC
Diploma in Information Communication Technology,KISTVC
Diploma in Human Resource Management,KISTVC
Diploma in Pharmaceutical Technology,KISTVC
Diploma in Medical Engineering,KISTVC
Diploma in Co-operative Management,KISTVC
Diploma in Building Technology,KISTVC
Diploma in Medical Laboratory Technology,KISTVC
Diploma in Secretarial Studies,KISTVC
Diploma in Mechanical Engineering (Automotive),KISTVC
Diploma in Electrical & Electronic Engineering (Power),KISTVC
Diploma in Social Work & Community Development,KITALE TTI
Diploma in Sales & Marketing,KITALE TTI
Diploma in Food & Beverage,KITALE TTI
Diploma in Accountancy,KITALE TTI
Diploma in Entrepreneurship Education,KITALE TTI
Diploma in Automotive Engineering,KITALE TTI
Diploma in Quantity Surveying,KITALE TTI
Diploma in Civil Engineering,KITALE TTI
Diploma in Mechanical Engineering (Plant),KITALE TTI
Diploma in Applied Biology,KITALE TTI
Diploma in Environmental Science,KITALE TTI
Diploma in Analytical Chemistry,KITALE TTI
Diploma in Electrical (Telecommunication),KITALE TTI
Diploma in General Agriculture,KITALE TTI
Diploma in Project Management,KITALE TTI
Diploma in Banking & Finance,KITALE TTI
Diploma in Supply Chain Management,KITALE TTI
Diploma in Information Science,KITALE TTI
Diploma in Business Management,KITALE TTI
Diploma in Information Communication Technology,KITALE TTI
Diploma in Human Resource Management,KITALE TTI
Diploma in Agriculture Engineering,KITALE TTI
Diploma in Medical Engineering,KITALE TTI
Diploma in Chemical Engineering,KITALE TTI
Diploma in Land Surveying,KITALE TTI
Diploma in Mechanical Engineering (Production),KITALE TTI
Diploma in Electrical (Instrumentation),KITALE TTI
Diploma in Road Construction,KITALE TTI
Diploma in Computer Studies,KITALE TTI
Diploma in Building Technology,KITALE TTI
Diploma in Secretarial Studies,KITALE TTI
Diploma in Mechanical Engineering (Automotive),KITALE TTI
Diploma in Electrical and Electronics (Power),KITALE TTI
Diploma in Water Technology (Water Supply Option),KITALE TTI
Diploma in Entrepreneurial Agriculture,KITALE TTI
Diploma in Health Records and Information Technology,KMTC
Diploma in Clinical Medicine,KMTC
Diploma in Physiotherapy,KMTC
Diploma in Enviromental Health Sciences,KMTC
Diploma in Community Nutrition,KMTC
Diploma in Medical Laboratory Sciences,KMTC
Diploma in Medical Engineering,KMTC
Diploma in Optometry,KMTC
Diploma in Community Health Nursing,KMTC
"Diploma in Registered Nursing, Mental Health and Psychiatry",KMTC
Diploma in Medical Imaging Science,KMTC
Diploma in Community Oral Health,KMTC
Diploma in Occupational Therapy,KMTC
Diploma in Dental Technology,KMTC
Diploma in Pharmacy,KMTC
Diploma in Orthopaedic Technology,KMTC
Diploma in Social Work & Community Development,KSM POLY
Diploma in Sales and Marketing,KSM POLY
Diploma in Accountancy,KSM POLY
Diploma in Automotive Engineering,KSM POLY
Diploma in Civil Engineering,KSM POLY
Diploma in Mechanical Engineering (Plant),KSM POLY
Diploma in Applied Biology,KSM POLY
Diploma in Analytical Chemistry,KSM POLY
Diploma in Computer Studies,KSM POLY
Diploma in Project Management,KSM POLY
Diploma in Transport Management,KSM POLY
Diploma in Construction Plant,KSM POLY
Diploma in Supply Chain Management,KSM POLY
Diploma in Business Management,KSM POLY
Diploma in Food & Beverage Management,KSM POLY
Diploma in Information Communication Technology,KSM POLY
Diploma in Human Resource Management,KSM POLY
Diploma in Medical Laboratory Sciences,KSM POLY
Diploma in Mechanical Engineering (Production),KSM POLY
Diploma in Cooperative Development,KSM POLY
Diploma in Pharmacy,KSM POLY
Diploma in Library and Information Studies,KSM POLY
Diploma in Building Technology,KSM POLY
Diploma in Secretarial Studies,KSM POLY
